"export-plot data (NetLogo 6.2.2)"
"RBTD lockdown.nlogo"
"03/20/2023 15:37:09:656 +0800"

"MODEL SETTINGS"
"cell","transmission-rate","hfs-radius","infection-radius","immune-system","population"
"10","20","25","50","10","1000"

"""sir"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","6700","0","1","true","""default""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","65","5599"
"""pen-1""","true","0","1","15","5599"
"""pen-2""","true","0","1","5","5599"

"""default""",,,,"""pen-1""",,,,"""pen-2"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"1","1","65","true","1","0","15","true","1","0","5","true"
"2","0.995","65","true","2","0.005","15","true","2","0","5","true"
"3","0.995","65","true","3","0.005","15","true","3","0","5","true"
"4","0.995","65","true","4","0.005","15","true","4","0","5","true"
"5","0.994","65","true","5","0.006","15","true","5","0","5","true"
"6","0.994","65","true","6","0.006","15","true","6","0","5","true"
"7","0.994","65","true","7","0.006","15","true","7","0","5","true"
"8","0.994","65","true","8","0.006","15","true","8","0","5","true"
"9","0.994","65","true","9","0.006","15","true","9","0","5","true"
"10","0.994","65","true","10","0.006","15","true","10","0","5","true"
"11","0.994","65","true","11","0.006","15","true","11","0","5","true"
"12","0.994","65","true","12","0.006","15","true","12","0","5","true"
"13","0.994","65","true","13","0.006","15","true","13","0","5","true"
"14","0.994","65","true","14","0.006","15","true","14","0","5","true"
"15","0.994","65","true","15","0.006","15","true","15","0","5","true"
"16","0.994","65","true","16","0.006","15","true","16","0","5","true"
"17","0.994","65","true","17","0.006","15","true","17","0","5","true"
"18","0.994","65","true","18","0.006","15","true","18","0","5","true"
"19","0.994","65","true","19","0.006","15","true","19","0","5","true"
"20","0.994","65","true","20","0.006","15","true","20","0","5","true"
"21","0.994","65","true","21","0.006","15","true","21","0","5","true"
"22","0.994","65","true","22","0.006","15","true","22","0","5","true"
"23","0.994","65","true","23","0.006","15","true","23","0","5","true"
"24","0.994","65","true","24","0.006","15","true","24","0","5","true"
"25","0.994","65","true","25","0.006","15","true","25","0","5","true"
"26","0.994","65","true","26","0.006","15","true","26","0","5","true"
"27","0.994","65","true","27","0.006","15","true","27","0","5","true"
"28","0.994","65","true","28","0.006","15","true","28","0","5","true"
"29","0.994","65","true","29","0.006","15","true","29","0","5","true"
"30","0.994","65","true","30","0.006","15","true","30","0","5","true"
"31","0.994","65","true","31","0.006","15","true","31","0","5","true"
"32","0.994","65","true","32","0.006","15","true","32","0","5","true"
"33","0.994","65","true","33","0.006","15","true","33","0","5","true"
"34","0.994","65","true","34","0.006","15","true","34","0","5","true"
"35","0.994","65","true","35","0.006","15","true","35","0","5","true"
"36","0.994","65","true","36","0.006","15","true","36","0","5","true"
"37","0.994","65","true","37","0.006","15","true","37","0","5","true"
"38","0.994","65","true","38","0.006","15","true","38","0","5","true"
"39","0.994","65","true","39","0.006","15","true","39","0","5","true"
"40","0.994","65","true","40","0.006","15","true","40","0","5","true"
"41","0.994","65","true","41","0.006","15","true","41","0","5","true"
"42","0.993","65","true","42","0.007","15","true","42","0","5","true"
"43","0.993","65","true","43","0.007","15","true","43","0","5","true"
"44","0.993","65","true","44","0.007","15","true","44","0","5","true"
"45","0.993","65","true","45","0.007","15","true","45","0","5","true"
"46","0.993","65","true","46","0.007","15","true","46","0","5","true"
"47","0.993","65","true","47","0.007","15","true","47","0","5","true"
"48","0.993","65","true","48","0.007","15","true","48","0","5","true"
"49","0.993","65","true","49","0.007","15","true","49","0","5","true"
"50","0.993","65","true","50","0.007","15","true","50","0","5","true"
"51","0.993","65","true","51","0.007","15","true","51","0","5","true"
"52","0.993","65","true","52","0.007","15","true","52","0","5","true"
"53","0.993","65","true","53","0.007","15","true","53","0","5","true"
"54","0.993","65","true","54","0.007","15","true","54","0","5","true"
"55","0.992","65","true","55","0.008","15","true","55","0","5","true"
"56","0.992","65","true","56","0.008","15","true","56","0","5","true"
"57","0.992","65","true","57","0.008","15","true","57","0","5","true"
"58","0.992","65","true","58","0.008","15","true","58","0","5","true"
"59","0.992","65","true","59","0.008","15","true","59","0","5","true"
"60","0.992","65","true","60","0.008","15","true","60","0","5","true"
"61","0.992","65","true","61","0.008","15","true","61","0","5","true"
"62","0.992","65","true","62","0.008","15","true","62","0","5","true"
"63","0.992","65","true","63","0.008","15","true","63","0","5","true"
"64","0.992","65","true","64","0.008","15","true","64","0","5","true"
"65","0.992","65","true","65","0.008","15","true","65","0","5","true"
"66","0.992","65","true","66","0.008","15","true","66","0","5","true"
"67","0.992","65","true","67","0.008","15","true","67","0","5","true"
"68","0.992","65","true","68","0.008","15","true","68","0","5","true"
"69","0.992","65","true","69","0.008","15","true","69","0","5","true"
"70","0.992","65","true","70","0.008","15","true","70","0","5","true"
"71","0.992","65","true","71","0.008","15","true","71","0","5","true"
"72","0.992","65","true","72","0.008","15","true","72","0","5","true"
"73","0.992","65","true","73","0.008","15","true","73","0","5","true"
"74","0.992","65","true","74","0.008","15","true","74","0","5","true"
"75","0.991","65","true","75","0.009","15","true","75","0","5","true"
"76","0.991","65","true","76","0.009","15","true","76","0","5","true"
"77","0.991","65","true","77","0.009","15","true","77","0","5","true"
"78","0.991","65","true","78","0.009","15","true","78","0","5","true"
"79","0.991","65","true","79","0.009","15","true","79","0","5","true"
"80","0.991","65","true","80","0.009","15","true","80","0","5","true"
"81","0.991","65","true","81","0.009","15","true","81","0","5","true"
"82","0.991","65","true","82","0.009","15","true","82","0","5","true"
"83","0.991","65","true","83","0.009","15","true","83","0","5","true"
"84","0.991","65","true","84","0.009","15","true","84","0","5","true"
"85","0.991","65","true","85","0.009","15","true","85","0","5","true"
"86","0.99","65","true","86","0.01","15","true","86","0","5","true"
"87","0.99","65","true","87","0.01","15","true","87","0","5","true"
"88","0.99","65","true","88","0.01","15","true","88","0","5","true"
"89","0.99","65","true","89","0.01","15","true","89","0","5","true"
"90","0.99","65","true","90","0.01","15","true","90","0","5","true"
"91","0.99","65","true","91","0.01","15","true","91","0","5","true"
"92","0.99","65","true","92","0.01","15","true","92","0","5","true"
"93","0.99","65","true","93","0.01","15","true","93","0","5","true"
"94","0.99","65","true","94","0.01","15","true","94","0","5","true"
"95","0.99","65","true","95","0.01","15","true","95","0","5","true"
"96","0.99","65","true","96","0.01","15","true","96","0","5","true"
"97","0.99","65","true","97","0.01","15","true","97","0","5","true"
"98","0.99","65","true","98","0.01","15","true","98","0","5","true"
"99","0.99","65","true","99","0.01","15","true","99","0","5","true"
"100","0.99","65","true","100","0.01","15","true","100","0","5","true"
"101","0.99","65","true","101","0.01","15","true","101","0","5","true"
"102","0.99","65","true","102","0.01","15","true","102","0","5","true"
"103","0.99","65","true","103","0.01","15","true","103","0","5","true"
